PB_DANE,Cluster,INDICADOR,Total_Numero_Credito de consumo,Total_Monto_Microcredito,Depósitos en cuenta corriente bancaria,Total_Numero_Transacciones corresponsal movil,Cuentas de ahorro especial,Créditos de vivienda,Total_Numero_Numero de corresponsales moviles,Total_Monto_Credito de vivienda,Porc_trabajos_formales,Total_Monto_Credito de consumo,CodigoM,Municipio,Código Entidad,Cobertura_edu_total,Cobertura_edu_media,Tasa_repitencia,Total_Saldo_Cuentas de Ahorro,Certificados de depósito a término,Provisión general
5001,4,0.3132082058376441,7340898.0,342432.55285798997,21518165.17768711,33688.0,827701.70233102,47272969.91109313,424.0,3833395.58787878,0.6152000000000001,14623377.57006594,5001,MEDELLIN,5001,97.06,56.18,6.41,129671242139741.66,256628043756287.44,1536505567591.03
5031,0,0.2928846153845625,11528.0,3031.1822,30697.76367992,0.0,122.28705412000001,47740.03605522,4.0,4211.532354,0.1216,9556.2256586,5031,AMALFI,5031,71.63,28.92,7.48,60798059764.96,49900031440.51,419219613.61
5045,6,0.16807723117991588,103939.0,29134.72642521,300272.90519944,27.0,3885.49631195,670003.47030419,15.0,31254.86380285,0.29100000000000004,248789.29358020998,5045,APARTADO,5045,94.91,57.86,5.56,1133602316218.53,280486764292.02,10388052207.72
5147,0,0.21751373626365625,13105.0,10511.834181940001,98236.90892133,33.0,341.08188999000004,34356.86012793,9.0,1536.978821,0.1067,22873.70266814,5147,CAREPA,5147,94.16,45.83,7.48,144877378126.73,31908937430.54,459592921.57
5266,6,0.4399434850862857,1094451.0,24514.10616354,627139.35032209,17.0,81086.37584921,2868979.48286306,15.0,191657.91967845,0.2585,1701603.50551954,5266,ENVIGADO,5266,100.44,65.36,6.49,4751826417377.74,8997915992786.85,17984485131.87
5308,6,0.033333299999999996,30189.0,14030.22431465,31617.91086607,0.0,1830.11219194,128103.21040145,0.0,9914.013472,0.20620000000000002,76257.78337266001,5308,GIRARDOTA,5308,93.38,53.89,7.48,498735849585.14,477476809741.97,6570365785.440001
5360,6,0.45780769230762497,492534.0,51109.73698484,866123.17062698,801.0,28369.75930409,2811040.5936865304,42.0,167410.71921439,0.2364,790218.36794724,5360,ITAGUI,5360,92.28,59.78,4.08,3435727291538.06,2144944395755.78,19835086693.63
5368,0,0.0923076,8620.0,2221.48415331,7076.89750714,0.0,457.77825914,23721.048169830003,0.0,938.131755,0.1518,7609.41838699,5368,JERICO,5368,77.65,50.67,7.48,71581154284.08,118493984233.91,320584858.40999997
5380,6,0.2395124111033478,77298.0,3386.08603478,72491.88465729001,0.0,3576.6601790299997,189939.11382687,1.0,11540.721517760001,0.2625,62831.64682925,5380,LA ESTRELLA,5380,123.48,77.15,7.48,491153319764.02,160603646798.32,418994310.33
5665,0,0.13520028358729033,937.0,5580.063,2150.57353533,0.0,0.0,110.144452,0.0,260.4,0.0536,1164.49862591,5665,SAN PEDRO DE URABA,5665,96.75,56.95,7.48,26484250700.95,10289492114.93,679248617.1
5697,6,0.176923076923,19353.0,12028.58763779,59307.23932523,0.0,1027.92265664,152765.74210123002,0.0,8935.934555,0.22010000000000002,43634.47829827,5697,EL SANTUARIO,5697,93.24,64.35,7.48,538531144575.17,216444433959.84,1433228649.67
5893,0,0.11573076923065626,3031.0,3408.75748552,39047.86562247,0.0,0.0,0.0,4.0,0.0,0.0765,974.22708613,5893,YONDO,5893,85.55,29.09,7.48,15593625479.07,6002622072.49,328015846.84000003
8001,1,0.28201235580331346,6423014.0,189352.65152938,9716120.41264936,17431.0,148267.18662899,27282254.722850982,401.0,1482623.6508009399,0.461,5888650.57277529,8001,BARRANQUILLA,8001,99.26,56.12,6.89,28964477027227.53,18248868297218.79,133112087902.29
8758,0,0.314778021978,245443.0,47986.28726928,228572.26994331,8730.0,4265.87550628,1806496.0852254299,145.0,115632.12944070999,0.0268,270662.78465644,8758,SOLEDAD,8758,91.36,56.57,3.72,848654825297.96,391903324134.15,14404486248.8
13001,11,0.20822006751406535,2731622.0,137865.69410698998,4575069.77015502,4054.0,66359.15558913001,12246938.79308923,161.0,765808.63730311,0.34049999999999997,2958632.8453337797,13001,CARTAGENA,13001,109.91,60.59,6.81,21714861828591.88,7334883558759.51,55426267050.74
13248,0,0.17348076923065625,42.0,3.6930991200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.027200000000000002,25.924885,13248,EL GUAMO,13248,82.25,43.0,3.13,208805.3,0.0,0.0
15455,0,0.31173333333323333,14633.0,11336.76445694,27932.80704304,0.0,71.44533871,18226.12231569,0.0,539.987864,0.081,8671.706998829999,15455,MIRAFLORES,15455,86.1,45.9,13.3,101542329171.71,53949893928.74,1016965397.71
17001,5,0.17875138722654454,1070539.0,61283.13459221,2150872.4066335,109003.0,51129.99611269,6093013.72650541,101.0,283065.56529289,0.4365,1449471.62681301,17001,MANIZALES,17001,78.41,49.99,7.84,8054594870689.95,6211795876744.15,36296211930.75
18001,6,0.5207531135530999,299332.0,74892.39760421001,1130058.29407437,19580.0,2298.99976796,822423.27141593,42.0,22178.587159,0.21989999999999998,446710.78881261,18001,FLORENCIA,18001,93.52,41.47,8.16,2114394556363.38,650767077339.71,7921587492.43
19001,8,0.2570867038718,552557.0,163327.50352248998,1850401.04685264,1072.0,31212.23620445,3391669.46782572,54.0,188685.68947854,0.3948,957112.55563909,19001,POPAYAN,19001,105.07,60.27,7.65,10368879582176.41,5333774639594.82,109023750573.90999
19318,0,0.0923076923076,388.0,5254.033,18418.21781835,0.0,0.0,823.282513,4.0,0.0,0.0666,1014.77971,19318,GUAPI,19318,83.69,23.45,10.61,57136212473.87,19392866732.86,501065472.83
20013,0,0.2344322344322,15660.0,18471.841948,31267.870413320004,2585.0,86.04845802,53475.258052260004,7.0,2783.028324,0.1035,18120.06750066,20013,AGUSTIN CODAZZI,20013,103.29,36.86,9.42,150466824379.6,76173025411.39,1300777381.31
23079,0,0.12997347480093102,1044.0,4705.885,3208.7645094,0.0,0.0,1505.795169,0.0,60.40981,0.0424,860.7409774700001,23079,BUENAVISTA,23079,87.22,42.99,7.59,6775272391.32,2144471818.08,485187831.82
23466,0,0.17162991846858064,15514.0,31265.91771705,180077.2519991,849.0,3241.08624744,84866.94425801,17.0,4136.987513,0.12,63086.378388590005,23466,MONTELIBANO,23466,94.63,48.02,7.59,443228343294.57,231863502782.65,2582333910.7799997
23555,0,0.19230763333333334,10630.0,25508.93694229,88017.26704514,1023.0,48.70071299,81506.28008713,4.0,5349.310704,0.0809,44394.06217236,23555,PLANETA RICA,23555,97.67,59.61,7.59,419492604617.65,177305866157.49,1698064518.73
23807,0,0.20855091575081905,3535.0,16564.962879,22942.18098094,913.0,0.0,1506.26062,12.0,295.08,0.0296,1503.87798923,23807,TIERRALTA,23807,100.6,49.84,7.59,38319091229.43,17078059632.31,1308010919.48
25175,6,0.43846153846159996,722469.0,45961.30538767,527171.92543275,357.0,48033.36880632,2404869.65310484,34.0,181691.62985516,0.3005,876436.3020102701,25175,CHIA,25175,109.32,63.87,9.05,7073496083063.29,6297427200687.88,10867398075.99
25286,6,0.4307692,170386.0,45989.60822947,219902.76285029002,0.0,7165.02708819,998213.7198033199,2.0,73330.63012544,0.2615,140908.29266108,25286,FUNZA,25286,99.98,66.7,6.65,1394094694985.34,550522920746.72,4979170861.39
25473,6,0.28076923076895,255819.0,1890.52290195,272879.32704466,321.0,11049.11420143,911964.30858156,42.0,49780.30909755,0.209,270606.6721497,25473,MOSQUERA,25473,101.02,58.03,7.81,1792150908115.18,814363016700.24,2663158993.4
25513,0,0.40431062271056667,20988.0,7809.726578399999,42229.0035899,0.0,48.9106916,124723.19863534,4.0,10756.737203,0.0941,31694.11619859,25513,PACHO,25513,90.52,48.24,5.19,330114399204.53,192039221401.33,1187975436.55
25612,0,0.33454545454536366,10482.0,309.82834253999994,0.0,0.0,0.0,0.0,0.0,0.0,0.1116,2655.5606197399998,25612,RICAURTE,25612,69.92,26.13,5.19,3110941959.6800003,0.0,0.0
25658,0,0.33200932400927274,2459.0,1183.63968274,1887.9956431,0.0,0.0,0.0,0.0,0.0,0.0983,1560.39924721,25658,SAN FRANCISCO,25658,79.28,48.78,5.19,27102908487.239998,10637884574.01,179457358.72
25754,10,0.38861263736259377,555282.0,54357.65812151,327012.04987927,39891.0,12154.96699958,5823234.88247528,330.0,82175.36713467,0.055,436487.27644746995,25754,SOACHA,25754,90.86,51.61,4.72,2560568038205.59,1342905291706.1501,26322636567.98
25843,6,0.42699751861041935,29702.0,59576.45855321,221119.80559314002,17.0,3973.6998053899997,217020.52846347,8.0,14150.42919547,0.2401,68148.0475178,25843,UBATE,25843,99.14,59.95,5.19,768072054035.51,535656662864.54,3389926609.31
27001,6,0.18722127255453086,76830.0,45341.40623497,366876.63320188003,0.0,9244.47629432,184224.24633916002,4.0,7025.72632891,0.2865,219604.64563013,27001,QUIBDO,27001,102.06,45.72,7.68,2761482874689.11,670236692363.51,5227873371.35
41001,3,0.4040879120877857,955766.0,121345.57183684,2631561.66743922,72455.0,77741.46542796,5127675.19725998,190.0,209106.5345799,0.3669,1286090.30873352,41001,NEIVA,41001,93.5,49.53,9.61,8331143667955.93,3245056187626.32,32805333806.25
41020,0,0.1785846153845667,1750.0,9660.9042181,7787.91774217,0.0,0.0,2255.879797,0.0,204.0,0.0258,700.36424936,41020,ALGECIRAS,41020,84.99,37.25,4.23,36983639722.0,3903062870.07,1245904249.46
41551,6,0.2076923076921,114218.0,102678.59319595,205302.10447298002,4647.0,3471.03049368,727808.11186451,40.0,59637.164357,0.1348,167545.58091485998,41551,PITALITO,41551,99.46,45.11,7.33,1308336703732.55,402594926186.09,5261425144.08
47001,3,0.22081487743017308,1825226.0,79245.97043172001,1693261.80741677,13186.0,23294.67045603,5080374.02885394,196.0,184851.48021448002,0.3191,1345507.8236426201,47001,SANTA MARTA,47001,103.7,50.98,3.88,7518722477291.76,3109057203387.28,27413407102.0
47288,0,0.26257071960290324,27591.0,14877.10045299,97209.59103869,0.0,39.98013721,173238.3623764,4.0,5701.510931,0.1333,41209.502485699995,47288,FUNDACION,47288,98.51,44.09,3.66,207136876285.6,148788530781.54,875466561.62
50001,3,0.47616923076917506,1048590.0,142146.67586252,3337232.29142271,49562.0,54802.54215525,5801079.57866091,168.0,280833.61987627,0.3653,1566326.53258032,50001,VILLAVICENCIO,50001,92.6,52.31,7.49,12373306756563.36,3737245753766.04,31795459461.3
